0|603|1294|1,6,208|0|Near 3.240
1|493|1294|0,2,5|0|Inside 3.240
2|360|1294|1,3,4|0|Inside 3.240
3|178|1294|2|3.240|3.240
4|360|1155|2|3.240A|3.240A
5|491|1155|1|3.240B|3.240B
6|603|1131|0,7,17|0|Near 3.242
7|730|1131|6|3.242|3.242
8|959|1131|9,10,11,211|0|Near 3.368
9|849|1131|8|3.368|3.368
10|1102|1131|8|3.370|3.370
11|959|1071|8,12,13,14|0|Near 3.372
12|959|1058|11,13|0|Near 3.372
13|1017|1057|12,15|0|Near 3.372
14|852|1067|11|3.372|3.372
15|1017|998|13,16,21|0|Near 3.374
16|1123|998|15|3.374|3.374
17|603|1067|6,18,19|0|Near 3.244
18|730|1067|17|3.244|3.244
19|603|913|17,20,30|0|Near 3.246
20|759|913|19|3.246|3.246
21|1017|928|15,22,23|3.300.6(Cr)|3.300.6(Cr)
22|1129|928|21|3.376|3.376
23|1017|727|21,24,25,26|0|Near 3.378
24|955|727|23|3.300.7(CLBR)|3.300.7(CLBR)
25|1129|727|23|3.378|3.378
26|1017|664|23,27,28|0|Near 3.380
27|1129|664|26|3.380|3.380
28|1017|615|26,29,78|0|Near 3.382
29|842|615|28|3.382(FL)|3.382(FL)
30|603|767|19,31,34|0|Near 3.248
31|361|767|30,32,33|3.248|3.248
32|361|1056|31|3.248A|3.248A
33|122|767|31|3.248B|3.248B
34|603|639|30,35,39,40|0|Near 3.250
35|603|630|34,36,40|0|Near 3.250
36|603|537|35,37,38|3.200(Cr)|3.200(Cr)
37|603|494|36,42,57|0|Near 3.252
38|701|537|36|3.S2|3.S2
39|711|639|34|3.E3(EV)|3.E3(EV)
40|415|630|35,43|3.250|3.250
41|140|630|40|3.250A|3.250A
42|457|494|37,43,53|0|Inside 3.252
43|210|494|42,44|3.252|3.252
44|210|219|43,45,49|0|Inside 3.254
45|83|219|44,46,48|0|Inside 3.254A
46|83|330|45,47|3.254A|3.254A
47|83|532|46|3.254A.1|3.254A.1
48|83|80|45|3.254A.2|3.254A.2
49|299|219|44,50|0|Inside 3.254
50|299|182|49,51,52|0|Inside 3.254
51|299|99|50|3.254|3.254
52|457|182|50,53,55|0|Inside 3.254
53|457|291|42,52,54|0|Inside 3.252A
